id,name,current_ticker,current_exchange,status,monitoring,archived,news_search_override,name_hint,exact_company_name,ticker,exchange,country,confidence,gemini_notes,google_finance_ticker,market_cap
seed-f1a9bf75117e0483-line-719,Nilorn Group,,,watchlist,auto,false,,,,Nilorngruppen AB,NIL-B,Nasdaq Stockholm,SE,high,,STO:NIL-B,$80.8M
seed-f1a9bf75117e0483-line-572,NMI Holdings,,,watchlist,auto,false,,,,NMI Holdings, Inc.,NMIH,NASDAQ,US,high,,NASDAQ:NMIH,$3.14B
seed-f1a9bf75117e0483-line-1672,OneWater Marine,,,pass,auto,false,,,,OneWater Marine Inc.,ONEW,NASDAQ,US,high,,NASDAQ:ONEW,$282.0M
seed-f1a9bf75117e0483-line-712,Optasia,,,watchlist,auto,false,,,,Optasia (Channel VAS),OPTAS,Unlisted,AE,medium,,Unlisted,$850.0M
seed-f1a9bf75117e0483-line-313,Palomar,,,perpetual,auto,false,,Palomar (add writeup),Palomar Holdings, Inc.,PLMR,NASDAQ,US,high,,NASDAQ:PLMR,$2.84B
seed-f1a9bf75117e0483-line-471,Pandora,,,watchlist,auto,false,,,,Pandora A/S,PNDORA,Nasdaq Copenhagen,DK,high,,CPH:PNDORA,$12.88B
seed-f1a9bf75117e0483-line-530,Paul Mueller (MUEL),,,watchlist,auto,false,,Paul Mueller (MUEL) (research),Paul Mueller Company,MUEL,OTCMKTS,US,high,,OTCMKTS:MUEL,$106.2M
seed-f1a9bf75117e0483-line-556,Pendrell,,,watchlist,auto,false,,,,Pendrell Corporation,PCOA,OTCMKTS,US,high,,OTCMKTS:PCOA,$38.4M
seed-f1a9bf75117e0483-line-460,Perak Transit,,,watchlist,auto,false,,,,Perak Transit Berhad,0186,KLSE,MY,high,,KLSE:0186,$135.3M
seed-f1a9bf75117e0483-line-24,Perma Fix,,,pass,auto,false,,,,Perma-Fix Environmental Services, Inc.,PESI,NASDAQ,US,high,,NASDAQ:PESI,$212.0M
seed-f1a9bf75117e0483-line-1141,Permianville,,,pass,auto,false,,,,Permianville Royalty Trust,PVL,NYSE,US,high,,NYSE:PVL,$40.2M
seed-f1a9bf75117e0483-line-926,Pesorama,,,pass,auto,false,,Pesorama (7/14/2026),Pesorama Inc.,PESO,TSX-V,CA,high,,CVE:PESO,$1.8M
seed-f1a9bf75117e0483-line-915,PGOLD,,,pass,paused,false,,PGOLD is trading for like 9x earnings,Public Gold Marketing Sdn Bhd,PGOLD,Unlisted,MY,medium,,Unlisted,$120.0M
seed-f1a9bf75117e0483-line-252,Philippine Seven Corporation,,,perpetual,auto,false,,,,Philippine Seven Corporation,SEVN,PSE,PH,high,,PSE:SEVN,$860.7M
seed-f1a9bf75117e0483-line-578,PIA Corp,,,watchlist,auto,false,,,,PIA Corporation,4337,TYO,JP,high,,TYO:4337,$217.1M
seed-f1a9bf75117e0483-line-1624,Plenti Group,,,pass,auto,false,,,,Plenti Group Limited,PLT,ASX,AU,high,,ASX:PLT,$86.1M
seed-f1a9bf75117e0483-line-651,Plover Bay Tech,,,watchlist,auto,false,,,,Plover Bay Technologies Limited,1523,HKG,HK,high,,HKG:1523,$581.0M
seed-f1a9bf75117e0483-line-943,Plus 500,,,pass,auto,false,,,,Plus500 Ltd.,PLUS,LSE,GB,high,,LON:PLUS,$2.39B
seed-f1a9bf75117e0483-line-23,Pollard Bank Note,,,inbox,auto,false,,,,Pollard Banknote Limited,PBL,TSX,CA,high,,TSE:PBL,$549.0M
seed-f1a9bf75117e0483-line-334,Porsche and Volkswagen,,,watchlist,paused,false,,,,Porsche Automobil Holding SE,PAH3,XETRA,DE,high,,FRA:PAH3,$12.25B
seed-f1a9bf75117e0483-line-1653,Prestige Assurance,,,pass,auto,false,,Prestige Assurance (8/13/2025),Prestige Assurance Plc,PRESTIGE,NGX,NG,high,,NGX:PRESTIGE,$4.33M
seed-f1a9bf75117e0483-line-1297,Presurance,,,pass,auto,false,,Presurance (9/1/2026),ProAssurance Corporation,PRA,NYSE,US,medium,,NYSE:PRA,$742.0M
723fb3f9-3f46-4e98-89c1-969549cb20f1,Progressive,PGR,,perpetual,auto,false,,Progressive (date last checked: 6/9/2026),The Progressive Corporation,PGR,NYSE,US,high,,NYSE:PGR,$145.20B
seed-f1a9bf75117e0483-line-1028,QVC,,,pass,paused,false,,,,Qurate Retail, Inc.,QRTEA,NASDAQ,US,high,,NASDAQ:QRTEA,$354.0M
seed-f1a9bf75117e0483-line-1221,Rainbow Tours,,,pass,auto,false,,,,Rainbow Tours S.A.,RBW,WSE,PL,high,,WSE:RBW,$400.4M
seed-f1a9bf75117e0483-line-1463,Rameda Pharma,,,pass,auto,false,,,,Tenth of Ramadan Pharmaceutical Industries and Diagnostic Reagents (Rameda),RMDA,EGX,EG,high,,EGX:RMDA,$120.4M
seed-f1a9bf75117e0483-line-1543,Reach,,,pass,auto,false,,,,Reach plc,RCH,LSE,GB,high,,LON:RCH,$369.2M
seed-f1a9bf75117e0483-line-1326,React Group PL,,,pass,auto,false,,React Group PL (8/19/2026),REACT Group plc,REAT,LSE,GB,high,,LON:REAT,$110.8M
seed-f1a9bf75117e0483-line-1655,Remak Energomontaz,,,pass,auto,false,,,,Remak-Energomontaz S.A.,RMK,WSE,PL,high,,WSE:RMK,$18.6M
seed-f1a9bf75117e0483-line-1277,RHLD,,,pass,paused,false,,,,Rhodium Enterprises, Inc.,RHDL,OTCMKTS,US,medium,,OTCMKTS:RHDL,$18.5M
seed-f1a9bf75117e0483-line-459,Richtech Digital Berhad,,,watchlist,auto,false,,,,Richtech Digital Berhad,0348,KLSE,MY,high,,KLSE:0348,$21.9M
seed-f1a9bf75117e0483-line-417,Rising Stone SA,,,watchlist,auto,false,,,,Rising Stone S.A.,MLRIS,Euronext Access Paris,FR,high,,EPA:MLRIS,$37.1M
seed-f1a9bf75117e0483-line-124,RUSH Enterprises,,,perpetual,auto,false,,,,Rush Enterprises, Inc.,RUSHA,NASDAQ,US,high,,NASDAQ:RUSHA,$4.24B
seed-f1a9bf75117e0483-line-147,Salik,,,perpetual,auto,false,,,,Salik Company PJSC,SALIK,DFM,AE,high,,DFM:SALIK,$9.31B
seed-f1a9bf75117e0483-line-715,Sasol (4 billion USD chemical company in Africa),,,watchlist,auto,false,,,,Sasol Limited,SOL,JSE,ZA,high,,JSE:SOL,$4.19B
seed-f1a9bf75117e0483-line-477,SBI Insurance Group,,,watchlist,auto,false,,,,SBI Insurance Group Co., Ltd.,7326,TYO,JP,high,,TYO:7326,$217.8M
seed-f1a9bf75117e0483-line-1574,SBI Leasing Service,,,pass,auto,false,,,,SBI Leasing Services Co., Ltd.,5834,TYO,JP,high,,TYO:5834,$282.1M
seed-f1a9bf75117e0483-line-28,Schaffer Corporation,,,inbox,auto,false,,,,Schaffer Corporation Limited,SFC,ASX,AU,high,,ASX:SFC,$183.0M
seed-f1a9bf75117e0483-line-1639,Secure Energy Waste Services,,,pass,auto,false,,,,SECURE Energy Services Inc.,SES,TSX,CA,high,,TSE:SES,$2.58B
seed-f1a9bf75117e0483-line-1530,Secure Trust Bank,,,pass,auto,false,,,,Secure Trust Bank PLC,STB,LSE,GB,high,,LON:STB,$184.6M
seed-f1a9bf75117e0483-line-244,Shin Maint Holdings Co Ltd,,,perpetual,auto,false,,,,Shin Maint Holdings Co., Ltd.,6086,TYO,JP,high,,TYO:6086,$65.9M
seed-f1a9bf75117e0483-line-344,Shoe Station Group,,,watchlist,auto,false,,,,Shoe Carnival, Inc.,SCVL,NASDAQ,US,medium,,NASDAQ:SCVL,$1.02B
seed-f1a9bf75117e0483-line-1255,Shoei,,,pass,auto,false,,,,Shoei Co., Ltd.,7839,TYO,JP,high,,TYO:7839,$639.2M
seed-f1a9bf75117e0483-line-472,Sky Harbour,,,watchlist,auto,false,,,,Sky Harbour Group Corporation,SKYH,NYSE,US,high,,NYSE:SKYH,$852.0M
seed-f1a9bf75117e0483-line-1130,Slide Insurance,,,pass,auto,false,,,,Slide Insurance Holdings,SLIDE,Unlisted,US,medium,,Unlisted,$2.10B
seed-f1a9bf75117e0483-line-227,Software Circle,,,perpetual,auto,false,,,,Software Circle plc,SFT,LSE,GB,high,,LON:SFT,$59.5M
seed-f1a9bf75117e0483-line-610,Solidcor,,,watchlist,auto,false,,,,Solidcor Ltd,SOLDC,Unlisted,GB,medium,,Unlisted,$42.0M
seed-f1a9bf75117e0483-line-1557,Solvar,,,pass,auto,false,,,,Solvar Limited,SVR,ASX,AU,high,,ASX:SVR,$150.8M
seed-f1a9bf75117e0483-line-1047,Spyrosoft SA,,,pass,auto,false,,,,Spyrosoft S.A.,SPR,WSE,PL,high,,WSE:SPR,$109.6M
seed-f1a9bf75117e0483-line-1392,St Barbara ASX Mine,,,pass,auto,false,,,,St Barbara Limited,SBM,ASX,AU,high,,ASX:SBM,$222.3M
seed-f1a9bf75117e0483-line-716,Stadio (education in Africa),,,watchlist,auto,false,,,,STADIO Holdings Limited,SDO,JSE,ZA,high,,JSE:SDO,$267.8M
seed-f1a9bf75117e0483-line-29,Stealth SGI,,,inbox,auto,false,,,,Stealth Global Holdings Ltd,SGI,ASX,AU,high,,ASX:SGI,$19.8M
seed-f1a9bf75117e0483-line-1188,STI Foods,,,pass,auto,false,,,,STI Food Holdings, Inc.,2932,TYO,JP,high,,TYO:2932,$203.7M
seed-f1a9bf75117e0483-line-26,Strattec,,,pass,auto,false,,,,STRATTEC Security Corporation,STRT,NASDAQ,US,high,,NASDAQ:STRT,$182.4M
seed-f1a9bf75117e0483-line-750,STV Group PLC,,,watchlist,auto,false,,,,STV Group plc,STVG,LSE,GB,high,,LON:STVG,$158.0M
seed-f1a9bf75117e0483-line-1537,Super Group,,,pass,auto,false,,,,Super Group Limited,SPG,JSE,ZA,high,,JSE:SPG,$640.0M
seed-f1a9bf75117e0483-line-42,Synectics,,,inbox,auto,false,,Synectics (reach out),Synectics plc,SNX,LSE,GB,high,,LON:SNX,$52.3M
seed-f1a9bf75117e0483-line-905,Tasmea Limited,,,pass,auto,false,,,,Tasmea Limited,TEA,ASX,AU,high,,ASX:TEA,$360.1M
seed-f1a9bf75117e0483-line-624,TAV Turkish Airport,,,watchlist,auto,false,,,,TAV Havalimanlari Holding A.S.,TAVHL,BIST,TR,high,,IST:TAVHL,$2.76B
seed-f1a9bf75117e0483-line-653,TBC Bank,,,watchlist,auto,false,,,,TBC Bank Group PLC,TBCG,LSE,GB,high,,LON:TBCG,$2.39B
seed-f1a9bf75117e0483-line-464,Teo Seng Capital,,,watchlist,auto,false,,,,Teo Seng Capital Berhad,7252,KLSE,MY,high,,KLSE:7252,$167.9M
seed-f1a9bf75117e0483-line-213,Teqnion,,,perpetual,auto,false,,,,Teqnion AB,TEQ,Nasdaq Stockholm,SE,high,,STO:TEQ,$305.8M
seed-f1a9bf75117e0483-line-991,Terago Inc,,,pass,auto,false,,,,TeraGo Inc.,TGO,TSX,CA,high,,TSE:TGO,$33.0M
seed-f1a9bf75117e0483-line-559,The Tile Shop,,,watchlist,auto,false,,The Tile Shop (7/14/2026),Tile Shop Holdings, Inc.,TTSH,NASDAQ,US,high,,NASDAQ:TTSH,$312.0M
seed-f1a9bf75117e0483-line-1059,Theon International,,,pass,auto,false,,,,Theon International Plc,THEON,Euronext Amsterdam,NL,high,,AMS:THEON,$972.3M
seed-f1a9bf75117e0483-line-655,Tinybuild,,,watchlist,auto,false,,,,tinyBuild Inc.,TBLD,LSE,GB,high,,LON:TBLD,$46.0M
46e41b5b-52c9-4ec5-9be5-4ed17469e8a6,Toubani Resources,ASX:TRE,,owned,auto,false,,,,Toubani Resources Limited,TRE,ASX,AU,high,,ASX:TRE,$29.4M
seed-f1a9bf75117e0483-line-1242,Tovis,,,pass,auto,false,,,,Tovis Co., Ltd.,051360,KOSDAQ,KR,high,,KOSDAQ:051360,$212.0M
seed-f1a9bf75117e0483-line-1671,Travelzoo,,,pass,auto,false,,,,Travelzoo,TZOO,NASDAQ,US,high,,NASDAQ:TZOO,$192.4M
seed-f1a9bf75117e0483-line-482,Truxton Bank,,,watchlist,auto,false,,"Truxton Bank (found feb 9th, updated 9/9/2026)",Truxton Corporation,TRUX,OTCMKTS,US,high,,OTCMKTS:TRUX,$186.2M
seed-f1a9bf75117e0483-line-616,Turkey Sigorta,,,watchlist,auto,false,,,,Turkiye Sigorta A.S.,TURSG,BIST,TR,high,,IST:TURSG,$1.89B
seed-f1a9bf75117e0483-line-465,Uber,,,watchlist,auto,false,,,,Uber Technologies, Inc.,UBER,NYSE,US,high,,NYSE:UBER,$155.40B
seed-f1a9bf75117e0483-line-1666,UMG,,,pass,paused,false,,,,Universal Music Group N.V.,UMG,Euronext Amsterdam,NL,high,,AMS:UMG,$48.18B
seed-f1a9bf75117e0483-line-681,Universal Engeisha Co Ltd,,,watchlist,auto,false,,,,Universal Engeisha Co., Ltd.,6061,TYO,JP,high,,TYO:6061,$121.9M
seed-f1a9bf75117e0483-line-18,URI,,,inbox,paused,false,,,,United Rentals, Inc.,URI,NYSE,US,high,,NYSE:URI,$52.10B
seed-f1a9bf75117e0483-line-577,Vail Resorts,,,watchlist,auto,false,,,,Vail Resorts, Inc.,MTN,NYSE,US,high,,NYSE:MTN,$6.82B
seed-f1a9bf75117e0483-line-1578,Valuence,,,pass,auto,false,,,,Valuence Holdings Inc.,9270,TYO,JP,high,,TYO:9270,$95.1M
seed-f1a9bf75117e0483-line-1393,Warpaint London,,,pass,auto,false,,,,Warpaint London PLC,W7L,LSE,GB,high,,LON:W7L,$587.6M
seed-f1a9bf75117e0483-line-1106,Water Intelligence,,,pass,auto,false,,,,Water Intelligence plc,WATR,LSE,GB,high,,LON:WATR,$104.5M
seed-f1a9bf75117e0483-line-350,Water Oasis Group,,,watchlist,auto,false,,,,Water Oasis Group Limited,1161,HKG,HK,high,,HKG:1161,$70.9M
seed-f1a9bf75117e0483-line-90,Western Investment,,,perpetual,auto,false,,,,Western Investment Company of Canada Limited,WIC,TSX-V,CA,high,,CVE:WIC,$10.4M
seed-f1a9bf75117e0483-line-510,Wilcon Depot (philippines),,,watchlist,auto,false,,,,Wilcon Depot, Inc.,WLCON,PSE,PH,high,,PSE:WLCON,$1.16B
seed-f1a9bf75117e0483-line-1587,Willplus Holdings Corp,,,pass,auto,false,,,,Willplus Holdings Corporation,3538,TYO,JP,high,,TYO:3538,$81.1M
seed-f1a9bf75117e0483-line-15,WOSG,,,pass,paused,false,,,,Watches of Switzerland Group PLC,WOSG,LSE,GB,high,,LON:WOSG,$1.28B
seed-f1a9bf75117e0483-line-1519,Wynnstay,,,pass,auto,false,,Wynnstay 2.6x,Wynnstay Group plc,WYN,LSE,GB,high,,LON:WYN,$104.3M
seed-f1a9bf75117e0483-line-947,XTB,,,pass,paused,false,,,,XTB S.A.,XTB,WSE,PL,high,,WSE:XTB,$2.04B
seed-f1a9bf75117e0483-line-1600,Yoshimura Food Holdings,,,pass,auto,false,,,,Yoshimura Food Holdings K.K.,2884,TYO,JP,high,,TYO:2884,$243.9M
seed-f1a9bf75117e0483-line-982,Zoom,,,pass,auto,false,,Zoom (6/22/2026),Zoom Video Communications, Inc.,ZM,NASDAQ,US,high,,NASDAQ:ZM,$21.14B
seed-f1a9bf75117e0483-line-659,Zoomd Technologies Ltd,,,watchlist,auto,false,,,,Zoomd Technologies Ltd.,ZOMD,TSX-V,CA,high,,CVE:ZOMD,$13.3M
